Node_ID, Node, Total Support
0, hsa:673, -8
1, hsa:5605, -9
2, hsa:5604, -9
3, hsa:369, -8
4, hsa:5894, -8
5, hsa:1613, -9
6, hsa:5594, -8
7, hsa:23604, -9
8, hsa:5595, -8
9, hsa:3845, -8
10, hsa:4893, -8
11, hsa:1612, -9
12, hsa:9252, -11
13, hsa:3265, -8
14, hsa:2261, -12
15, hsa:11186, -12
