Start	End	Direction	Weight
ACTC	SCIN	0	1
ACTC	STARS	0	1
ACTG1	ANXA5	0	1
ACTG1	CFL1	0	1
ACTG1	CFL2	0	1
ACTG1	DNASE1	0	1
ACTG1	ITGB4BP	0	1
ACTG1	MYO1A	0	1
ACTG1	PFN2	0	1
ACTG1	PTPRO	0	1
ACTG1	PXN	0	1
ACTG1	SH3GL2	0	1
ACTG1	ST3GAL3	0	1
ACTG1	TLN1	0	1
ACTG1	TMSB4X	0	1
ACTG1	VCL	0	1
ACTG1	DNCL1	0	1
ACTG1	WASF1	0	1
ACTG1	BCAP31	0	1
ACTG1	DSTN	0	1
ACTG1	PRSS23	0	1
ACTG1	ATF7IP	0	1
ACTN4	ADORA2A	0	1
ACTN4	ATP6V1B1	0	1
ACTN4	CAMK2G	0	1
ACTN4	COL17A1	0	1
ACTN4	GSN	0	1
ACTN4	ITGB1	0	1
ACTN4	NEB	0	1
ACTN4	PDLIM1	0	1
ACTN4	MAGI1	0	1
ACTN4	SLC9A3R2	0	1
ACTN4	USP6NL	0	1
ACTN4	TRIM3	0	1
ACTN4	MYOZ2	0	1
ACTN4	LRRC7	0	1
ACTN4	MYOZ1	0	1
ACTL6A	ARHGDIA	0	1
ACTL6A	EWSR1	0	1
ACTL6A	MYC	0	1
ACTL6A	POLR2A	0	1
ACTL6A	SMARCA4	0	1
ACTL6A	BAZ1B	0	1
ACTN1	ADORA2A	0	1
ACTN1	CAMK2A	0	1
ACTN1	COL17A1	0	1
ACTN1	CTNNA1	0	1
ACTN1	FBP1	0	1
ACTN1	GRIN2A	0	1
ACTN1	MAGEA11	0	1
ACTN1	PKN1	0	1
ACTN1	PYGB	0	1
ACTN1	TTN	0	1
ACTN1	XRCC4	0	1
ACTN1	ZYX	0	1
ACTN1	CSRP3	0	1
ACTN1	CDK5R1	0	1
ACTN1	CDK5R2	0	1
ACTN1	PDLIM1	0	1
ACTN1	MYOT	0	1
ACTN1	GIPC1	0	1
ACTN1	TES	0	1
ACTN1	MYOZ2	0	1
ACTN1	MYOZ1	0	1
ACTN1	SSX2IP	0	1
ACTN1	RAVER1	0	1
ACTN2	ACTN3	0	1
ACTN2	ADORA2A	0	1
ACTN2	DLG1	0	1
ACTN2	DLG4	0	1
ACTN2	GRIN2B	0	1
ACTN2	KCNA4	0	1
ACTN2	KCNA5	0	1
ACTN2	PKN1	0	1
ACTN2	SELE	0	1
ACTN2	ADAM12	0	1
ACTN2	PDLIM1	0	1
ACTN2	(null)	0	1
ACTN2	KIAA0992	0	1
ACTN2	DISC1	0	1
ACTN2	MYOZ2	0	1
ACTN2	MYOZ1	0	1
ACTN2	MYPN	0	1
ACTN2	SSX2IP	0	1
ACTN2	RAVER1	0	1
ACTN3	ADORA2A	0	1
ACTN3	MYPN	0	1
ACVR1	ACVR1B	0	1
ACVR1	BMP2	0	1
ACVR1	BMP7	0	1
ACVR1	ENG	0	1
ACVR1	FNTA	0	1
ACVR1	IGSF1	0	1
ACVR1	INHBA	0	1
ACVR1	INHBB	0	1
ACVR1	INHBC	0	1
ACVR1	SMAD1	0	1
ACVR1	SMAD5	0	1
ACVR1	SMAD9	0	1
ACVR1	GDF5	0	1
ACVR1B	ACVR2A	0	1
ACVR1B	ACVR2B	0	1
ACVR1B	IGSF1	0	1
ACVR1B	INHBA	0	1
ACVR1B	INHBB	0	1
ACVR1B	INHBC	0	1
ACVR1B	SMAD4	0	1
ACVR1B	SMAD7	0	1
ACVR1B	SNX1	0	1
ACVR1B	TDGF1	0	1
ACVR1B	TGFBRAP1	0	1
ACVR2A	BMP2	0	1
ACVR2A	BMP6	0	1
ACVR2A	BMP7	0	1
ACVR2A	ENG	0	1
ACVR2A	GDF9	0	1
ACVR2A	IGSF1	0	1
ACVR2A	INHBA	0	1
ACVR2A	INHBB	0	1
ACVR2A	INHBC	0	1
ACVR2A	TGFBR3	0	1
ACVR2A	GDF5	0	1
ACVR2B	BMP7	0	1
ACVR2B	GDF8	0	1
ACVR2B	IGSF1	0	1
ACVR2B	INHBA	0	1
ACVR2B	INHBB	0	1
ACVR2B	INHBC	0	1
ACVR2B	SNX1	0	1
ACVR2B	SNX2	0	1
ACVR2B	GDF5	0	1
ACVR2B	TGFBRAP1	0	1
ACVR2B	GDF11	0	1
ACVRL1	TGFB1	0	1
ACVRL1	TGFBR2	0	1
ACVRL1	TGFBRAP1	0	1
ACY1	TTC1	0	1
ADA	ADORA1	0	1
ADA	ADORA2A	0	1
ADA	DPP4	0	1
ADA	DRD1	0	1
ADA	GRB2	0	1
ADA	NR3C1	0	1
ADAM10	EFNA2	0	1
ADAR	XPO1	0	1
ADCY1	ADCY2	0	1
ADCY2	ADCY5	0	1
ADCY2	GNAS	0	1
ADCY5	GNAI1	0	1
ADCY5	GNAS	0	1
ADCY5	PRKCA	0	1
ADCY5	PRKCZ	0	1
ADCY5	RGS2	0	1
ADCY6	CHRNA7	0	1
ADCYAP1	ADCYAP1R1	0	1
ADCYAP1	SCTR	0	1
ADCYAP1	SHH	0	1
ADCYAP1	VIPR2	0	1
ADD1	ADD2	0	1
ADD1	CALM1	0	1
ADD1	ID2	0	1
ADD1	SPTA1	0	1
ADD1	SPTAN1	0	1
ADD1	SPTB	0	1
ADD1	HSPH1	0	1
ADD2	CALM1	0	1
ADD2	FYN	0	1
ADD2	SPTAN1	0	1
ADH5	CHD3	0	1
ADM	EDN1	0	1
ADM	CFH	0	1
ADM	NPPC	0	1
ADM	ADMR	0	1
ADORA1	DRD1	0	1
ADORA1	EPB41L2	0	1
ADORA1	GNAI2	0	1
ADORA1	GNAO1	0	1
ADORA1	GNAZ	0	1
ADORA1	GRM1	0	1
ADORA1	P2RY1	0	1
ADORA2A	DRD2	0	1
PARP1	BCL2	0	1
PARP1	CASP3	0	1
PARP1	CDKN1A	0	1
PARP1	CENPA	0	1
PARP1	CENPB	0	1
PARP1	MYBL2	0	1
PARP1	NFKB1	0	1
PARP1	PCNA	0	1
PARP1	POLA	0	1
PARP1	POU2F1	0	1
PARP1	RELA	0	1
PARP1	RPS3A	0	1
PARP1	RXRA	0	1
PARP1	TP53	0	1
PARP1	XRCC1	0	1
PARP1	BUB3	0	1
PARP1	PARP2	0	1
PARP1	PARP3	0	1
PARP1	RBM14	0	1
PARP1	ZNF423	0	1
PARP1	POLA2	0	1
PARP1	APTX	0	1
PARP4	MVP	0	1
ADRA1B	AP2M1	0	1
ADRA1B	GNA11	0	1
ADRA1B	SAG	0	1
ADRA1A	PPP1R9B	0	1
ADRA2A	ADRB1	0	1
ADRA2A	EIF2B1	0	1
ADRA2A	GNAI1	0	1
ADRA2A	GNAO1	0	1
ADRA2A	YWHAZ	0	1
ADRA2B	EIF2B1	0	1
ADRA2B	GNAI2	0	1
ADRA2B	YWHAZ	0	1
ADRA2C	EIF2B1	0	1
ADRA2C	GNAO1	0	1
ADRA2C	YWHAZ	0	1
ADRB1	ARRB1	0	1
ADRB1	DLG4	0	1
ADRB1	GRB2	0	1
ADRB1	GIPC1	0	1
ADRB2	ARR3	0	1
ADRB2	EIF2B1	0	1
ADRB2	GNA11	0	1
ADRB2	GNA15	0	1
ADRB2	GRK6	0	1
ADRB2	GRB2	0	1
ADRB2	KCNJ6	0	1
ADRB2	KCNJ9	0	1
ADRB2	OPRD1	0	1
ADRB2	PRKCA	0	1
ADRB2	SLC9A3R2	0	1
ADRB2	SLC9A3R1	0	1
ADRB2	AKAP5	0	1
ADRB2	GNA14	0	1
ADRB3	GNAS	0	1
ADRB3	SRC	0	1
ADRBK1	ARRB1	0	1
ADRBK1	CAV1	0	1
ADRBK1	CCR4	0	1
ADRBK1	FSHR	0	1
ADRBK1	GNAQ	0	1
ADRBK1	PBP	0	1
ADRBK1	PDCL	0	1
ADRBK1	PDC	0	1
ADRBK1	PRKCB1	0	1
ADRBK1	RCV1	0	1
ADRBK1	RHO	0	1
ADRBK1	SRC	0	1
ADRBK1	GIT2	0	1
ADRBK1	FREQ	0	1
ADRBK1	GIT1	0	1
ADRBK2	CCR4	0	1
ADRBK2	CXCR4	0	1
ADRBK2	GIT1	0	1
AP2A1	BIN1	0	1
AP2A1	AP2S1	0	1
AP2A1	EPS15	0	1
AP2A1	GHR	0	1
AP2A1	HIP1	0	1
AP2A1	SMAD9	0	1
AP2A1	RIT1	0	1
AP2A1	SHC1	0	1
AP2A1	DEK	0	1
AP2A1	PICALM	0	1
AP2A1	ENTH	0	1
AP2A1	RAB11FIP2	0	1
AP2A1	SYT3	0	1
AP2A1	TOE1	0	1
AP2A2	AP2B1	0	1
AP2A2	EPS15	0	1
AP2A2	HD	0	1
AP2A2	SMAD1	0	1
AP2A2	SHC1	0	1
AP1B1	AP1G1	0	1
AP1B1	ARF1	0	1
AP1B1	ARF5	0	1
AP1B1	ARF6	0	1
AP1B1	ARRB2	0	1
AP1B1	BUB1	0	1
AP1B1	BUB1B	0	1
AP1B1	CLTC	0	1
AP1B1	SMAD2	0	1
AP1B1	AP1M2	0	1
AP1B1	CABIN1	0	1
AP1B1	ATF7IP	0	1
